"","whatTested","estimatedPerformance","strategies","interruption","participatedBefore","issues","seriousness","comments","age","race","sex","gender"
"46","How competent we think different populations are.","60","I did not use any particular strategy.","No, I did not interrupt the task.","No","None","95","None","24","Latinx/a/o or Hispanic","Male","Male"
"47","How competent we think different populations are.","60","I did not use any particular strategy.","No, I did not interrupt the task.","No","None","95","None","24","White","Male","Male"
"48","I think you were testing to see if there was a pattern to the type of face that got a higher or lower score.  And to see if men or women were scored higher/lower.","60","No, I did not use any strategies.  I don't know what strategy could have been used.","No, I did not interrupt the task.","No","No, everything was clear.","100","It is possible I missed rating a face, if so in the future a pop up to tell you you missed something would be helpful.","68","White","Female","Female"
"49","Biases about people based on their age, skin color, and smiles.","57","I tried to remember generally where I had rated the faces previously and rate them similarly when they came back up.","No, I did not interrupt the task.","No","No, easy to understand and I appreciated the completion tab moving above each face.","95","","30","White","Female","female"
"50","How competent someone seems based on their facial appearance. Also how we judge based on first impressions.","80","I trusted my first instincts. I also used a question, based on if I'd want them on my team or if I would trust them with a task. ","No, I did not interrupt the task.","No","Everything was clear and I did not have any problems completing the task.","100","N/A","60","White","Female","Female"
"51","I think you were looking for a racial bias.","70","I did not use any particular strategies. It is impossible to accurately measure competence by just a head shot.","No, I did not interrupt the task.","No","No","100","","51","White","Female","Female"
"52","Smiling is less serious and rated lower?","75","I think I recognized some people or maybe they just looked familiar","No, I did not interrupt the task.","No","no","90","","52","White","Female","woman"
"53","I think its testing how competent different faces are","60","I just went with my gut feeling","No, I did not interrupt the task.","No","no it was okay","100","no thanks","35","Black/African American","Female","WOMAN"
"54","About racial stereotypes to determine efficiency. ","90","I graded better the people wearing a suit or that have a wise look. Older people tend to perform better their job since they have more knowledge. ","No, I did not interrupt the task.","No","At the beginning of the survey says MTurk participants. This is Prolific. ","95","no comments. ","30","Latinx/a/o or Hispanic","Male","Male"
"55","I think you were testing the racial biases and assumptions people have when meeting people for the first time.","50","I mostly picked faces that looked more serious or like they were concentrating as more competent. ","No, I did not interrupt the task.","No","No everything was clear.","99","No, I didn't have any problems with the task.","29","White","Female","Female"
"56","I believe you were testing implicit biases.","60","I thought about if they looked trustworthy with seemed to translate into competency for me","No, I did not interrupt the task.","No","Nope!","90","Nope!","22","Latinx/a/o or Hispanic","Female","Female"
"57","I believe you were testing implicit biases.","60","I thought about if they looked trustworthy with seemed to translate into competency for me","No, I did not interrupt the task.","No","Nope!","90","Nope!","22","White","Female","Female"
"58","i guess something having to do with the first impression someone gets from a pictur","60","no strategies, but i did notice some of the people were the same just diffrent look or smile","No, I did not interrupt the task.","No","no the directions were clear","100","no other comments","43","Latinx/a/o or Hispanic","Female","female"
"59","If we had biases towards certain features or skin tones.","80","I just relied on my first instinct, no main strategy.","No, I did not interrupt the task.","No","no","100","none","27","White","Male","male"
"60","Perceptions of faces and notions of competency based on face","25","I just looked at what objectively might present as more competent","No, I did not interrupt the task.","No","No","99","No","36","East Asian","Male","Male"
"61","How competent someone is based on their photo.","70","I was biased based on their race and how they were dressed.","No, I did not interrupt the task.","Yes","No.","99","N/A","57","White","Female","Female"
"62","Racial bias ","50","Not really, just answered with my first gut reaction","No, I did not interrupt the task.","No","Nothing!","90","","23","White","Female","Female"
"63","You were looking for consistent answers about levels of competency, based off appearance.","70","I just used intuition.","No, I did not interrupt the task.","No","no","100","no","26","White","Female","female"
"64","Towards the end it seemed to be if familiarity impacted perception of competence. ","57","I noticed age impacted my judgment  a lot.","No, I did not interrupt the task.","No","I'm not sure I was judging competence at the beginning. ","84","No problems for me.","26","White","Female","Female"
"65","You were testing how competent someone is based on their looks. ","80","I just based it off of my initial reaction","No, I did not interrupt the task.","No","Everything was clear","90","","29","White","Female","Female"
"66","Biases in race in the context of how competent someone is","50","I just went off of previous experiences and social interactions with others","No, I did not interrupt the task.","No","N/A","85","","22","East Asian","Female","WOMAN"
"67","I think it tests people's perceptions of someone's competence based on age, and gender, and weight. The pictures were displayed multiple times with these variations and could alter the level of competence one associates with the image. ","45","I focused on the age, any visible clothes, and the eyes. It is not necessarily a strategy, but it relates to people I have seen in person or the media. I was influenced by specific features that looked intelligent, bright/open eyes, and capable of carrying on conversations or using critical thinking skills. ","No, I did not interrupt the task.","No","No, the instructions were clear and it wasn't too long. ","85","No comments","20","White","Female","female"
"68","Perceived bias","50","Gut feeling - I tried not to be racially biased","No, I did not interrupt the task.","No","No","90","I got kind of tired in the last 1/3 of the experiment. It might have been nice to have a forced 30 second break to rest my eyes every x amount of photos","25","White","Female","Female"
"69","To see if I rated pictures based on race or physical characteristics.","25","I tried my best to relate a persons picture to their potential background.","No, I did not interrupt the task.","No","Everything was clear.","100","None","19","White","Male","male"
"70","I would guess it would be about people's attitudes about ""race"" and competence.","1","I used gut emotion.","No, I did not interrupt the task.","No","no","100","","38","White","Male","male"
"71","Perceptions of how we saw the faces considering only our rating of their appearance as being a certain way.","50","NO, and after a time the monotony of seeing the same faces over and over, I began to see all the men as serial killers and rate women as messy if hair was uncombed or makeup not applied. This is not like me.","No, I did not interrupt the task.","No","No, it was easy to understand and follow.","95","Phot viewing became monotonous after a time.","39","Middle Eastern","Female","girl"
"72","Perceptions of how we saw the faces considering only our rating of their appearance as being a certain way.","50","NO, and after a time the monotony of seeing the same faces over and over, I began to see all the men as serial killers and rate women as messy if hair was uncombed or makeup not applied. This is not like me.","No, I did not interrupt the task.","No","No, it was easy to understand and follow.","95","Phot viewing became monotonous after a time.","39","White","Female","girl"
"73","Peoples biases","100","No I dont think so ","Yes, I interrupted the task.","No","no","70","no","23","White","Female","girl "
"74","consistency about how we judged people based on appearance.","67","not really, i just made a snap judgement and decided if the person was someone i could trust in a professional capacity. people that wore glasses or had nicer clothes probably had something to do with it","No, I did not interrupt the task.","No","it was very straightforward","98","i hope i judge people less on their looks but i think it is human nature to judge that way. it is how we evolved and survived. judging a book by its cover is usually a good idea. but people shouldnt be judged that way. i hope i become a better person and judge based on the content of their character.","41","Latinx/a/o or Hispanic","Male","male"
"75","consistency about how we judged people based on appearance.","67","not really, i just made a snap judgement and decided if the person was someone i could trust in a professional capacity. people that wore glasses or had nicer clothes probably had something to do with it","No, I did not interrupt the task.","No","it was very straightforward","98","i hope i judge people less on their looks but i think it is human nature to judge that way. it is how we evolved and survived. judging a book by its cover is usually a good idea. but people shouldnt be judged that way. i hope i become a better person and judge based on the content of their character.","41","White","Male","male"
"76","Whether we believe that ""competency"" is attached to race or gender.","95","You can't judge competency by faces. I think that most people are competent, but maybe not ""extremely competent"" so I went with that.","No, I did not interrupt the task.","No","I think that the results might have been different if you defined what you meant by competency. Most people can manage the affairs of ordinary life, which is how I would define it.","95","That is all.","50","White","Male","Male"
"77","Whether our opinions on the competency of the photos changed over time, the more we saw the face. ","70","No, I just went off of first instincts and my feelings. ","No, I did not interrupt the task.","No","None at all.","95","Nope","20","Race/ethnicity not listed","Female","Female"
"78","I imagine you were testing bias, perhaps both racial bias and gender bias. Perhaps age bias as well.","50","It was hard to judge. Competence can mean so many different things. One person can be competent at their job but not in their relationships and vice versa. A person can be a competent driver, but not a competent employee. I just based it on if they looked confident and self-assured.","No, I did not interrupt the task.","No","Competent is very vague.","95","","83","White","Female","female"
"79","How people judge competency based on race, facial expression, and weight. ","75","I mostly paid attention to facial expressions and just overall how well they looked.","No, I did not interrupt the task.","No","No","100","No","26","White","Male","Male"
"80","I think it has something to do with natural prejudice","50","I tried to base it more on how well kept a person was.  Which is pretty difficult really just seeing their faces.  I did notice that sometimes I favored people smiling more than those not.","No, I did not interrupt the task.","No","No","100","","27","White","Male","Man"
"81","how people feel about face expressions!","70","i just went with my first instinct and aslo i tried to recall how i rated each person that i seen twice!","No, I did not interrupt the task.","No","no i understood it completely!","95","none!","34","Black/African American","Female","woman"
"82","Initial reactions to somebodies facial features and judgements we make based off of them.","60","I was trying to notice facial features and also their mouth(if they were smiling, etc.) ","No, I did not interrupt the task.","No","no! ","95","n/a","27","White","Female","female"
"83","I believe that how competent an individual appears by their face was being tested. ","75","I tried to picture the person if I were to run into them in real life. Also, what kind of  scenario I could visualize them in.","No, I did not interrupt the task.","No","No, the study was very straightforward and clear. ","90","","27","White","Female","Female"
"84","How competent the people looked based on their faces.","50","Not really.","No, I did not interrupt the task.","No","No.","100","Thank you.","54","White","Female","female"
"85","Since we were supposed to give immediate gut reaction possible biases in how people look and how we judge their competency. ","60","I didn't use strategy since we were supposed to use gut feeling but some of the pictures repeated so I tried to score them similar each time.","No, I did not interrupt the task.","No","No, everything was clear and I was able to complete without problems.","75","No","25","Latinx/a/o or Hispanic","Male","Man"
"86","Since we were supposed to give immediate gut reaction possible biases in how people look and how we judge their competency. ","60","I didn't use strategy since we were supposed to use gut feeling but some of the pictures repeated so I tried to score them similar each time.","No, I did not interrupt the task.","No","No, everything was clear and I was able to complete without problems.","75","No","25","White","Male","Man"
"87","I am uncertain. Seems quite broad.","80","No. I just answered candidly.","No, I did not interrupt the task.","No","No.","100","No.","23","Black/African American","Male","Male"
"88","If smiles had to do with anything and our ratings, or people looking friendlier.","50","I liked the people that looked friendly, they had a warmth that made them seem more competent. ","No, I did not interrupt the task.","No","What exactly was I judging their competence in? In a job? In life? In raising a family? There are a lot of variables...","90","competent in what?","36","White","Female","female"
"89","I thought you were testing how capable people appeared to be based on their superficial appearance. I took capable (or competent) to mean they can succeed in their careers or fields of study.","56","I used no particular strategies other than basing my judgment on the likelihood that I would want this person as a colleague.","No, I did not interrupt the task.","No","The instructions were clear but I struggled a bit in defining the word ""competent"" as it related to these faces. Did ""competent"" mean they are good at their jobs? Did it mean they are good human beings? The choice of the word ""competent"" seemed sort of vague so I chose based on my own assigned definition of the word.","90","","53","White","Female","female"
"90","I think you were testing perceptions of competence based on factors like gender, race, and age.","25","People who appeared to be well groomed and nicely dresses I think I rated higher.","No, I did not interrupt the task.","No","Nothing was unclear.","90","","44","White","Female","female"
"91","Just reminding myself that we are checking competence. Trying not to place a bias irrelevant to competence. ","50","I tried to avoid looking at the clothes or emotion on the face. ","No, I did not interrupt the task.","No","No","98","","54","White","Female","female"
"92"," how competent they appear to be.","70","I picked the ones that were formally dressed as competent","No, I did not interrupt the task.","No","No it was clear enough","100","thank you and cheers","49","Black/African American","Male","MAN"
"93","How people's facial expressions determine whether people think they are competent. ","80","I judged people's competency based on my previous answers. Whether one person looked more confident that the last person I scored","Yes, I interrupted the task.","No","I did not have any problems and understood what was being asked.","75","None","45","Black/African American","Female","Female"
"94","How we viewed competence based on gender and race","60","I went based off of gut reaction to each one mainly.","No, I did not interrupt the task.","No","Everything was explained clearly, no issues.","100","No additional comments at this time.","37","White","Male","Male"
"95","How I can easily get familiar with faces","35","No, I didn't have any","No, I did not interrupt the task.","No","No","65","Nill","42","Black/African American","Male","male"
"96","I was rating the pictures of people based on how I perceive them. I think that race, age and even eyeglasses were used to determine my perception of the people. ","70","I seemed to give higher rankings to older people, smiling people and also their grooming and eyewear. I noticed that I didn't base my answers on race of gender.","No, I did not interrupt the task.","No","No, everything about this study worked perfectly.","99","This study taught me about how I perceive people without ever getting to know them.","62","White","Female","Female"
"97","People's perceptions of others based on their facial expressions, race, age, etc.","75","Age played a bit of a part in my ratings. Older more experienced I gave more competency to, but it was difficult to gage someone's competency just by their face.","No, I did not interrupt the task.","No","No.","100","no","42","White","Female","Female"
"98","Differences in competency assumed based on race, gender, and weight","50","I just went on gut instinct","No, I did not interrupt the task.","No","Nope","75","nopd","29","White","Female","Woman"
"99","People's initial reactions to seeing diverse faces? Maybe if there's correlation between racial identification and perceived competence? ","75","Mostly trusting gut feeling. Noticed after a bit that if people looked older or more confident I was inclined to rank them higher.","No, I did not interrupt the task.","No","Nothing unclear, most confusing part was trying to figure out what you meant by a face looking ""competent"" since that's something I'd usually judge without visuals. No problems!","85","This was interesting! I did my best to keep my attention on it and honestly seeing pictures repeat made me try to pay more attention. Not to try to match the scores I picked before, but I did catch myself wondering if they varied between times they showed up.","29","White","Female","Female"
"100","How facial features, expressions, and ethnicity dictate one's appearance of competence.","75","I tended to look at how well the person was groomed and the expression in their eyes. I feel like there is a certain look when someone is confused or lacking confidence.","No, I did not interrupt the task.","No","I didn't have any problems, though I started to worry about whether I was being fair to each person. I continuously wondered if I ranked the same faces with the same score. I wondered if my score changed based on what I focused on with each image. I provided an off-the-cuff response for each image.","100","This task is interesting. I found myself scoring people higher who wore attire common in executive roles. I'm not sure that was a good thing.","55","Black/African American","Female","Female"
"101","How people.s perceptions of various variables in looks and expressions affect their judgements of peop","75","I mostly judged people by their facial expressions.","No, I did not interrupt the task.","No","It was clear","90","","66","White","Female","female"
"102","I honestly have no idea maybe how race plays into how people think of others.","50","no just went with my gut","No, I did not interrupt the task.","No","no","95","","50","White","Male","male"
"103","How people rated the competentness of people based on their appearance.","40","I rated people who looked smarter as more competent and people who looked less inteligent as less competent. Some had a doe eyed look that made me rate them as low on competentness","No, I did not interrupt the task.","No","No parts unclear.","95","No issues faced during study. Study was easy to complete and interesting if a bit repetitive.","32","Southeast Asian","Male","Male"
"104","Something about how race and gender affects perception of competence","100","I compared them to people i had met in real life.","No, I did not interrupt the task.","No","No","90","I marked myself as being 100% correct because I considered this a subjective question about how I perceive these people, not an objective question about their real-life competence. ","46","Black/African American","Male","Male"
"105","Something about how race and gender affects perception of competence","100","I compared them to people i had met in real life.","No, I did not interrupt the task.","No","No","90","I marked myself as being 100% correct because I considered this a subjective question about how I perceive these people, not an objective question about their real-life competence. ","46","Latinx/a/o or Hispanic","Male","Male"
"106","face features of different images ","100","no i went by face expressions","No, I did not interrupt the task.","Yes","the survey was very clear with no problem","100","NA","52","Black/African American","Female","Black african american"
"107","To see if small facial features changes make someone look more competent ","50","No I didn't have any kind of particular strats. ","No, I did not interrupt the task.","No","No","90","","35","White","Female","female"
"108","I think you were testing peoples biases based off a 1-2 second reaction. ","80","The only strategy I used was to see how well put together someone was based off the little information a picture provided. Such as well kept hair or makeup. Or whether I could tell someone was wearing a suit or not. ","No, I did not interrupt the task.","No","No","100","I participated in one study that was familiar, however I do not think it was this exact study. ","27","White","Female","Female"
"109","I think I was testing if someone looked competent based on race and gender. ","50","I did not use any strategies other than if I thought they looked incompetent. ","No, I did not interrupt the task.","No","Everything was clear and direct. ","100","This was fun and interesting. I enjoyed it and would be curious to know the results. ","40","Latinx/a/o or Hispanic","Male","male"
"110","How a person looks in terms of compency.","25","Just to see how the person looks in terms of expression.","No, I did not interrupt the task.","No","Nothing was unclear in regards to the procedure.","100","","33","Black/African American","Male","Male"
"111","How a person looks in terms of compency.","25","Just to see how the person looks in terms of expression.","No, I did not interrupt the task.","No","Nothing was unclear in regards to the procedure.","100","","33","East Asian","Male","Male"
"112","Weight changes and how that makes people come across. Maybe also things about race.","90","Not really, I just went off of my first gut feeling and tried not to use too much logic. ","No, I did not interrupt the task.","No","Nope","87","","24","South Asian","Female","Female"
"113","my first impressions about people.","78","not really.","No, I did not interrupt the task.","No","NA ","100","NA","36","White","Male","male "
"114","How people perceive race, gender and compentency","50","No, I didn't know anything about the people, most people are fairly competent.","No, I did not interrupt the task.","No","no","100","no","57","White","Female","female"
"115","I have no idea, honestly.","50","I assumed basic competency of everyone I saw.  They're all humans and adult life is very complicated.  Just by existing they exhibit competency.","No, I did not interrupt the task.","No","I didn't really understand what was meant by competency or how that was rated.","100","No","41","Latinx/a/o or Hispanic","Male","Nonbinary"
"116","I have no idea, honestly.","50","I assumed basic competency of everyone I saw.  They're all humans and adult life is very complicated.  Just by existing they exhibit competency.","No, I did not interrupt the task.","No","I didn't really understand what was meant by competency or how that was rated.","100","No","41","Native American/American Indian","Male","Nonbinary"
"117","I have no idea, honestly.","50","I assumed basic competency of everyone I saw.  They're all humans and adult life is very complicated.  Just by existing they exhibit competency.","No, I did not interrupt the task.","No","I didn't really understand what was meant by competency or how that was rated.","100","No","41","White","Male","Nonbinary"
"118","Consistency over time. I was shown the same faces more than once, some wearing different Makup, I believe. Either way, also possibly honesty. But they might have been studying how our answers may change over time.. depending on the amount of makeup or hairstyle the person had.","60","I tried to be consistent and not judge them by their hair or make-up.","No, I did not interrupt the task.","No","It was 100% clear! No problems, thank you!","99","Thank you once again.","42","White","Male","Male"
"119","How certain facial features affect perceptions of people.","62","I tried to think about the types of professions I would imagine these people being in, just off the top of my head.","No, I did not interrupt the task.","No","No, it was fine.","85","I thought that asking for a scale of how well I did on the task was funny, considering the answers to these questions are subjective.","22","White","Female","Woman"
"120","I was just trying to get a gut feeling about the faces of the people that came up on the screen.","80","no I  just went with my gut feelings about each face as it popped up on the screen. I didn't dwell on each face too long just picked what i felt.","No, I did not interrupt the task.","No","no it was clear to me.","100","none","45","White","Female","female"
"121","How people judge others faces, and  if we judge them the same every time. ","77","I just looked at the face and moved the scale to the number that seemed to match their level of competence. I would not say I had a particular strategy.","No, I did not interrupt the task.","No","I think I understood everything clearly.","100","It was a good study.","47","White","Female","female"
"122","I think you were testing internal biases. ","43","I found the eyes to be the most telling feature. ","No, I did not interrupt the task.","No","No it was clear. ","85","","33","White","Male","MAN"
"123","Racial and gender biases.","67","Looking at gender and race without stereotypes, glasses, age, clothes","No, I did not interrupt the task.","No","Nope","97","no","24","Black/African American","Female","female"
"124","Racial and gender biases.","67","Looking at gender and race without stereotypes, glasses, age, clothes","No, I did not interrupt the task.","No","Nope","97","no","24","Latinx/a/o or Hispanic","Female","female"
"125","faces which looked more competent","85","everything was good","No, I did not interrupt the task.","No","no","80","no","48","White","Female","female"
"126","On how smart someone looks.","50","just my instinct","No, I did not interrupt the task.","No","no had no problems","90","not at this time","44","White","Female","female"
"127","I think maybe something about stereotypes. Probably is race a factor in whether someone thinks someone else is competent or not.","50","If someone had the deer in the headlights look, but real looking, it made them look less competent. Some of them had very intelligent looks about them and it raised their score. I started everyone at 50.","No, I did not interrupt the task.","No","Nope everything seemed pretty clear.","95","No comments.","32","White","Female","Female"
"128","To see what I think of people with their looks compared to how competent I think they are based on looks.","75","I looked at how well put together they are mostly, to help decide on their competentness.","No, I did not interrupt the task.","No","no, it was great!","100","","35","White","Female","female"
